order_id,customer_id,customer_name,gender,age,country,city,product_category,product_name,quantity,price,discount,order_date,delivery_days,payment_method,order_status,rating,review_text
7271,5076,Grace,Male,23,,Mumbai,Food,Chair,5,1974.6,10,2021-04-22,9,Cash,Delivered,5,Average
861,1157,Charlie,M,57,France,Berlin,Furniture,Chair,9,1224.67,0,2021-07-15,5,Credit Card,Delivered,1,Poor
5391,3717,Eva,F,43,UK,Paris,Food,Chair,,1653.33,10,2021-04-05,6,,Pending,3,Excellent
13419,2970,Eva,,66,France,Berlin,Food,,1,787.75,,2022-04-04,6,Debit Card,Cancelled,3,Excellent
5192,1245,Alice,Female,23,India,New York,,,8,410.53,,2021-01-03,9,UPI,,4,
11965,3903,Grace,,29,,Berlin,Clothing,Phone,5,340.68,10,2021-05-15,1,Cash,Pending,4,Poor
11285,3795,Charlie,F,38,,,Books,Chair,7,1587.29,15,2022-01-27,5,Debit Card,Pending,2,Good
5735,4824,Grace,M,33,India,Berlin,Food,Chair,4,697.28,0,2022-04-18,2,,,5,Good
6266,3377,Alice,,23,France,Mumbai,Books,Pizza,4,618.28,0,2021-03-30,3,UPI,,1,Good
467,7655,Eva,Male,51,UK,,Furniture,Phone,8,1092.03,5,2023-02-11,12,Cash,Cancelled,4,Average
13527,1849,,Female,20,USA,,Books,Laptop,9,1151.49,15,2022-03-30,1,UPI,Delivered,4,Bad
4427,2810,Frank,Female,58,UK,New York,Electronics,Pizza,,469.26,,2021-09-18,5,Debit Card,Pending,4,Average
5579,6190,Grace,F,36,Canada,Toronto,Books,Shirt,1,1771.8,10,2021-03-22,4,Cash,Returned,5,Excellent
14424,6432,Eva,F,46,UK,London,Electronics,Pizza,6,1868.09,,2021-09-05,14,Net Banking,,1,Average
11637,4986,Bob,M,49,France,Berlin,Clothing,Laptop,2,471.35,0,2022-11-13,3,Cash,Delivered,,
11364,3126,Eva,F,27,UK,,Clothing,Laptop,,1309.22,15,2022-09-16,9,Credit Card,Cancelled,2,Poor
11112,5264,Eva,,44,India,,Food,Shirt,3,795.36,5,2023-03-18,7,Net Banking,Cancelled,1,Excellent
8323,7953,Grace,Female,46,France,New York,Electronics,Shirt,9,387.79,5,2021-10-19,13,Cash,Delivered,4,Excellent
1686,4030,Frank,M,30,Canada,New York,Electronics,Laptop,7,827.73,10,2022-11-10,7,Credit Card,Returned,5,Bad
770,7323,Alice,F,37,France,London,Books,Novel,3,1458.24,10,2021-10-18,14,Cash,,,Good
10584,6747,Bob,Male,45,France,Mumbai,Clothing,Laptop,,1044.18,0,2023-01-20,10,,Delivered,1,Bad
13804,3307,Bob,Female,44,UK,New York,Electronics,Shirt,5,853.98,0,2022-01-08,13,Net Banking,Cancelled,1,Good
6950,6605,Charlie,M,30,Germany,London,Furniture,,6,810.18,5,2022-12-08,13,Debit Card,Pending,3,Excellent
2434,6891,Frank,Female,42,Canada,Paris,Clothing,Novel,6,888.59,0,2021-08-25,7,Debit Card,,1,Excellent
5312,4076,,,46,Canada,New York,Food,Shirt,9,692.88,,2022-01-01,13,Cash,,2,
5052,3344,David,F,69,,,Food,Pizza,1,123.19,15,2021-11-08,5,Credit Card,Cancelled,3,Bad
6421,1619,Charlie,F,32,USA,Paris,,Laptop,2,1753.46,10,2021-12-27,9,,Cancelled,,Bad
1185,3902,Charlie,F,62,,Paris,Clothing,Pizza,7,1912.21,5,2023-03-20,13,Net Banking,Pending,1,Bad
4556,3407,,Male,62,Canada,,Electronics,Chair,4,1445.27,0,2023-06-12,5,Cash,,,Bad
3386,7260,Charlie,,47,USA,New York,Food,Pizza,6,442.92,,2021-12-12,2,Net Banking,,1,Excellent
12310,5452,Bob,Male,55,India,London,Clothing,Chair,9,1338.53,15,2021-01-11,,Cash,Cancelled,3,Poor
6397,4004,Alice,,49,France,,Books,Laptop,9,1743.24,0,2021-12-30,3,,Returned,4,
13036,4914,Grace,,67,USA,,Electronics,Phone,4,1404.27,20,2022-01-30,12,Debit Card,Cancelled,5,
11097,3486,,,24,UK,Paris,Clothing,Shirt,7,1519.48,10,2021-03-08,9,UPI,Pending,,
8667,4402,Eva,F,52,Canada,Mumbai,Books,Novel,3,627.07,5,2021-03-17,1,Net Banking,Returned,5,Excellent
9275,4596,Bob,F,50,,Berlin,Furniture,Novel,3,1578.37,5,2021-03-12,8,Cash,Returned,4,Good
2559,2677,Eva,F,29,UK,Toronto,Food,Chair,4,362.64,5,2022-12-23,4,Cash,Pending,3,Good
7850,6307,,Male,40,UK,Paris,Clothing,,5,1406.67,5,2022-07-26,6,Cash,Delivered,2,Bad
2048,5039,Eva,M,22,Canada,Paris,,Shirt,9,460.79,15,2022-06-23,3,UPI,Returned,,Excellent
2748,2304,David,,60,India,Berlin,Electronics,Chair,2,1222.18,20,2022-12-17,4,Cash,Pending,1,Excellent
9168,6630,Grace,Male,61,France,London,Books,Novel,1,792.74,10,2023-02-07,3,Debit Card,Cancelled,3,Poor
9999,5093,Charlie,F,48,USA,Mumbai,Clothing,Novel,1,1183.31,10,2021-01-24,5,Cash,Pending,2,
190,6585,David,F,33,France,Mumbai,Clothing,Phone,1,553.79,0,2021-03-14,9,Credit Card,Delivered,3,Average
2735,2963,Charlie,M,50,France,Paris,Books,Phone,9,1934.1,,2023-05-06,13,,Pending,1,Poor
3006,4307,Bob,F,,UK,,,Phone,7,1661.23,0,2023-01-01,,,Cancelled,4,
4659,2361,Eva,,67,USA,New York,Clothing,Laptop,2,1488.1,5,2021-08-12,10,Net Banking,Delivered,4,Excellent
1900,7665,David,Female,18,India,New York,Electronics,Phone,6,1121.91,0,2023-03-15,7,,,,Poor
7735,5294,,F,39,France,Toronto,Food,Phone,6,1623.37,0,2022-03-17,11,Net Banking,Delivered,5,
1268,2787,,M,45,Canada,Paris,Electronics,Chair,4,1408.03,5,2022-11-06,1,UPI,Pending,4,Excellent
1529,2073,Frank,Female,22,Germany,Toronto,Electronics,Chair,1,661.7,,2022-06-21,4,,Cancelled,,Good
11395,2165,Bob,,21,UK,New York,Food,Phone,5,330.85,5,2021-09-22,12,,,5,Good
3557,6902,Bob,,18,Germany,Mumbai,,Novel,8,910.19,,2021-11-05,14,Net Banking,Returned,4,Average
3891,4599,,,32,,Mumbai,Clothing,Novel,1,1335.63,0,2021-08-12,9,Debit Card,Cancelled,3,Poor
8839,6633,Frank,M,54,India,Berlin,Books,Laptop,1,836.68,10,2023-02-04,4,Credit Card,Returned,3,Average
14357,3717,Charlie,Female,56,,Mumbai,Books,Shirt,2,1587.0,10,2022-05-02,4,UPI,Returned,5,Good
